Country,Human Development Index (HDI) Value,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years) 2019,Gross national income (GNI) per capita(2017 PPP $),Inequality-adjusted life expectancy index  (Value)   2019,Inequality-adjusted income index (value) 2019,Gross domestic product (GDP per capita 2017 PPP$) 2019,GDP Annual Growth (Percentage),Employment to population ratio,Mandatory paid maternity leave,Share of seats held by women in parliament (percentage),Stock of immigrants (percentage of poplulation),Consumer price index (2010=100),Healthy life expectancy at birth (years),Total Population( in millions),Urban Population (in percentage),Population age 65 and older( in millions),Human Development Index (female value) 2019,Human Development Index (male value) 2019,Gender Development Index (value) 2019,Gender Inequality Index Rank ,GDP per capita Female,GDP per capita Male,Life expectancy at birth Female (in years),Life expectancy at birth Male (in years),Expected years of schooling female (in years),Expected years of schooling male (in years),Mean years of schooling (female years) 2019,Mean years of schooling (male years) 2019,Estimated Gross national income (GNI) per female capita (2017 PPP$)  2019,Estimated Gross national income (GNI) per male capita (2017 PPP$)  2019,Employment in agriculture (% of total) 2019,Employment in services (% of total) 2019,Exports and imports (% of GDP) 2019,Labour force female participation rate (% ages 15 and older) 2019,Labour force male participation rate (% ages 15 and older) 2019,Label
Mauritania,0.546,64.9,8.6,4.7,"5,135",0.484,0.449,"5,197",3.1,41.5,98,20,3.8,135,62.2,4.5,54.5,0.1,0.5,0.579,0.864,151,"2,782","7,468",66.5,63.3,8.7,8.5,3.8,5.6,"2,782","7,468",51.3,35.8,94.2,28.9,63.1,4
Benin,0.545,61.8,12.6,3.8,"3,254",0.418,0.358,"3,287",4,69.3,98,7,3.3,111,56.6,11.8,47.9,0.4,0.502,0.587,0.855,148,"2,837","3,673",63.3,60.2,11.4,13.8,2.4,5.5,"2,837","3,673",38.6,42.4,63.7,68.8,73,4
Uganda,0.544,63.4,11.4,6.2,"2,123",0.486,0.346,"2,181",2.8,69,84,35,3.9,174,57.8,44.3,24.4,0.9,0.503,0.582,0.863,131,"1,591","2,671",65.6,61,10.6,12.2,4.9,7.6,"1,591","2,671",72.7,20.7,46,67,73.9,4
Rwanda,0.543,69,11.2,4.4,"2,155",0.607,0.295,"2,226",6.6,82.8,84,56,4.3,151,59.8,12.6,17.3,0.4,0.528,0.558,0.945,92,"1,876","2,444",71.1,66.8,11.2,11.2,4,4.9,"1,876","2,444",62.4,28.7,53.7,83.9,83.4,4
Nigeria,0.539,54.7,10,6.7,"4,910",0.336,0.423,"5,135",-0.4,48.6,84,4,0.6,268,56,201,51.2,5.5,0.504,0.572,0.881,,"4,107","5,692",55.6,53.8,9.4,10.6,5.7,7.7,"4,107","5,692",35.1,52.7,33,47.9,57.9,4
Côte d'Ivoire,0.538,57.8,10,5.3,"5,069",0.388,0.433,"5,238",4.2,55.1,98,13,9.9,112,56.2,25.7,51.2,0.7,0.476,0.586,0.811,153,"2,561","7,531",59.1,56.6,9,10.9,4.2,6.4,"2,561","7,531",40,46.8,45.6,48.2,65.5,4
Tanzania (United Republic of),0.529,65.5,8.1,6.1,"2,600",0.522,0.382,"2,660",2.7,81.8,84,37,0.9,187,58.7,58,34.5,1.5,0.514,0.542,0.948,140,"2,222","2,978",67.2,63.6,8.2,8,5.8,6.4,"2,222","2,978",65.3,27.9,32.2,79.6,87.3,4
Madagascar,0.528,67,10.2,6.1,"1,596",0.571,0.303,"1,646",2.1,84.6,98,17,0.1,184,57.6,27,37.9,0.8,0.513,0.539,0.952,,"1,273","1,921",68.7,65.4,10.2,10.2,6.4,5.8,"1,273","1,921",64.2,26.8,59.8,83.4,88.9,4
Lesotho,0.527,54.3,11.3,6.5,"3,151",0.353,0.367,"2,768",0.7,52,84,23,0.3,156,45.2,2.1,28.6,0.1,0.529,0.522,1.014,139,"2,471","3,849",57.6,51.2,11.7,10.9,7.2,5.8,"2,471","3,849",8.5,49.2,134.6,60.2,75.9,4
Djibouti,0.524,67.1,6.8,4.1,"5,689",0.555,0.441,"5,519",5.9,54,98,26,11.8,120,58.9,1,77.9,0,,,,,"4,151","7,077",69.4,65.1,6.7,6.9,,,"4,151","7,077",33.1,53.8,298.3,50.7,68.8,4
Togo,0.515,61,12.7,4.9,"1,602",0.439,0.307,"1,596",2.8,76,98,16,3.5,113,57,8.1,42.2,0.2,0.464,0.565,0.822,145,"1,220","1,989",61.9,60.2,11.5,13.8,3.5,6.7,"1,220","1,989",37.7,49.4,71.2,76.3,78.9,4
Senegal,0.512,67.9,8.6,3.2,"3,309",0.581,0.392,"3,395",2.4,42.7,98,42,1.7,109,59.9,16.3,47.7,0.5,0.475,0.546,0.87,130,"2,271","4,401",69.9,65.8,8.9,8.2,1.9,4.6,"2,271","4,401",30,56.5,60.5,35,57.5,4
Afghanistan,0.511,64.8,10.2,3.9,"2,229",0.495,,"2,202",0.5,43.5,90,27,0.4,150,54.1,38,25.8,1,0.391,0.593,0.659,157,819,"3,566",66.4,63.4,7.7,12.5,1.9,6,819,"3,566",42.8,39,45.6,21.6,74.7,4
Haiti,0.51,64,9.7,5.6,"1,709",0.459,0.212,"1,729",-2.2,57.9,42,3,0.2,179,55.4,11.3,56.2,0.6,0.473,0.54,0.875,152,"1,410","2,016",66.2,61.8,9,10.4,4.3,6.6,"1,410","2,016",28.7,64.7,74.3,61.9,72.8,4
Sudan,0.51,65.3,7.9,3.8,"3,829",0.506,0.369,"3,958",-4.9,40.4,56,28,2.9,"1,344",61.4,42.8,34.9,1.6,0.466,0.542,0.86,138,"1,981","5,679",67.2,63.5,7.7,8.3,3.3,4.2,"1,981","5,679",39.9,43.8,26.7,29.1,68.2,4
Gambia,0.496,62.1,9.9,3.9,"2,168",0.463,0.384,"2,207",2.9,54,180,10,9.2,173,58.3,2.3,61.9,0.1,0.448,0.53,0.846,148,"1,145","3,207",63.5,60.7,10,9.8,3.3,4.6,"1,145","3,207",27.1,57.2,65.5,51.2,68,4
Ethiopia,0.485,66.6,8.8,2.9,"2,207",0.538,0.405,"2,220",5.5,77.9,90,37,1.1,,60.2,112.1,21.2,3.9,0.442,0.527,0.837,125,"1,642","2,771",68.5,64.7,8.3,9.3,1.7,4.3,"1,642","2,771",66.1,23.7,28.7,73.4,85.8,4
Malawi,0.483,64.3,11.2,4.7,"1,035",0.51,0.239,"1,060",1.6,72.4,56,23,1.3,418,56.6,18.6,17.2,0.5,0.493,0.5,0.986,142,838,"1,237",67.4,61.1,11.2,11.3,6.9,5.2,838,"1,237",43.6,42.5,66.6,72.6,81.1,4
Congo (Democratic Republic of the),0.48,60.7,9.7,6.8,"1,063",0.4,0.258,"1,098",1.1,60.8,98,12,1.1,134,56.3,86.8,45,2.6,0.439,0.52,0.845,150,907,"1,218",62.2,59.1,8.6,10.8,5.3,8.4,907,"1,218",65.4,24.8,67.3,60.7,66.3,4
Guinea-Bissau,0.48,58.3,10.6,3.6,"1,996",0.399,0.281,"1,989",2.1,70.2,60,14,1.4,107,53.6,1.9,43.8,0.1,,,,,"1,647","2,361",60.2,56.3,,,,,"1,647","2,361",68.1,24.9,57,65.8,78.7,4
Liberia,0.48,64.1,9.6,4.8,"1,258",0.476,0.296,"1,428",-4.6,74.2,98,12,1.9,223,56.9,4.9,51.6,0.2,0.453,0.509,0.89,156,"1,242","1,275",65.5,62.7,9.2,10.4,3.5,6.2,"1,242","1,275",43.3,46.5,127.5,72.1,80.6,4
Guinea,0.477,61.6,9.4,2.8,"2,405",0.44,0.395,"2,564",2.6,58.9,98,23,0.9,263,53.9,12.8,36.5,0.4,0.428,0.524,0.817,,"2,266","2,554",62.1,60.9,8,10.8,1.5,4.2,"2,266","2,554",61.7,32.1,108.7,62.7,60.2,4
Yemen,0.47,66.1,8.8,3.2,"1,594",0.534,0.327,,-1.6,33.1,70,1,1.3,158,58.6,29.2,37.3,0.8,0.27,0.553,0.488,162,186,"2,980",67.8,64.4,7.4,10.2,2.9,5.1,186,"2,980",29,61,,5.8,70.2,4
Eritrea,0.459,66.3,5,3.9,"2,793",0.56,,,,74.4,60,22,0.5,,55.9,3.5,40.7,0.2,,,,,"2,275","3,309",68.6,64.2,4.6,5.4,,,"2,275","3,309",61.2,30.3,47.4,71.5,85.5,4
Mozambique,0.456,60.9,10,3.5,"1,250",0.441,0.273,"1,280",-0.7,75.6,60,41,1.1,182,50.8,30.4,36.5,0.9,0.435,0.476,0.912,127,"1,131","1,377",63.7,57.8,9.5,10.5,2.7,4.5,"1,131","1,377",70.3,21.2,112.2,77.3,79,4
Burkina Faso,0.452,61.6,9.3,1.6,"2,133",0.435,0.382,"2,190",2.7,62.3,98,13,3.5,108,54.2,20.3,30,0.5,0.418,0.482,0.867,147,"1,541","2,727",62.3,60.7,9.1,9.4,1.1,2.3,"1,541","2,727",25.2,41.1,60.2,58.3,74.8,4
Sierra Leone,0.452,54.7,10.2,3.7,"1,668",0.326,0.35,"1,718",3.3,55.3,84,12,0.7,234,54.1,7.8,42.5,0.2,0.423,0.479,0.884,155,"1,470","1,867",55.5,53.9,9.7,10.6,2.9,4.5,"1,470","1,867",54.9,38.6,56.7,57.3,58.5,4
Mali,0.434,59.3,7.5,2.4,"2,269",0.383,0.393,"2,327",1.9,65.7,98,10,2.4,109,54.3,19.7,43.1,0.5,0.388,0.473,0.821,158,"1,516","3,019",60.1,58.5,6.8,8.1,1.7,3,"1,516","3,019",62.6,29.8,57.2,61.2,80.6,4
Burundi,0.433,61.6,11.1,3.3,754,0.457,0.241,752,-1.3,78,84,39,2.8,182,55.5,11.5,13.4,0.3,0.432,0.432,0.999,124,866,640,63.4,59.8,11,11.1,2.6,4.1,866,640,92,6.5,41.9,80.4,77.8,4
South Sudan,0.433,57.9,5.3,4.8,"2,003",0.372,0.307,,-12.1,63.5,90,27,7.8,"4,584",54.6,11.1,19.9,0.4,0.384,0.456,0.842,,"1,759","2,247",59.4,56.4,3.5,5.9,3.9,5.2,"1,759","2,247",56.9,29.2,65.6,71,73.8,4
Chad,0.398,54.2,7.3,2.5,"1,555",0.311,0.297,"1,580",0.2,69.4,98,15,3.2,118,52.9,15.9,23.3,0.4,0.342,0.448,0.764,160,"1,244","1,868",55.7,52.8,5.9,8.8,1.3,3.8,"1,244","1,868",76.6,21.3,74.6,63.9,77.5,4
Central African Republic,0.397,53.3,7.6,4.3,993,0.307,0.176,945,1.3,69.3,98,9,1.9,,45.7,4.7,41.8,0.1,0.351,0.438,0.801,159,792,"1,197",55.5,51.1,6.2,8.9,3,5.6,792,"1,197",77.3,17.3,66.1,64.4,79.8,4
Niger,0.394,62.4,6.5,2.1,"1,201",0.451,0.314,"1,219",1.9,71.7,98,17,1.3,109,55.1,23.3,16.5,0.6,0.321,0.443,0.724,154,536,"1,859",63.6,61.3,5.7,7.2,1.4,2.8,536,"1,859",75.1,17.7,39.7,60.6,83.7,4
,,,,2.079048967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
